"Title","Country","Longitude","Latitude"
"Enigma","Netherlands",5.75,52.5
"Pok�mon 4: The Movie","Japan",139.75309,35.68536
"Cowboy Bebop: The Movie","Japan",139.75309,35.68536
"The Safety of Objects","UK",-2.69531,54.75844
"The Safety of Objects","Canada",-113.64258,60.10867
"Snow Dogs","Canada",-113.64258,60.10867
"Kung Pow: Enter the Fist","Hong Kong",114.1577,22.28552
"The Count of Monte Cristo","UK",-2.69531,54.75844
"The Count of Monte Cristo","Ireland",-8,53
"Slackers","Canada",-113.64258,60.10867
"Big Fat Liar","Germany",10.5,51.5
"Rollerball","Germany",10.5,51.5
"Rollerball","Japan",139.75309,35.68536
"Return to Never Land","Canada",-113.64258,60.10867
"Return to Never Land","Australia",135,-25
"Heaven","Germany",10.5,51.5
"Heaven","Italy",12.83333,42.83333
"Heaven","France",2,46
"Heaven","UK",-2.69531,54.75844
"Queen of the Damned","Australia",135,-25
"Dragonfly","Germany",10.5,51.5
"We Were Soldiers","Germany",10.5,51.5
"All About the Benjamins","Germany",10.5,51.5
"Showtime","Australia",135,-25
"Resident Evil","UK",-2.69531,54.75844
"Resident Evil","Germany",10.5,51.5
"Resident Evil","France",2,46
"Blade II","Germany",10.5,51.5
"Death to Smoochy","UK",-2.69531,54.75844
"Death to Smoochy","Germany",10.5,51.5
"Van Wilder: Party Liaison","Germany",10.5,51.5
"The Scorpion King","Germany",10.5,51.5
"The Scorpion King","Belgium",4,50.83333
"Deuces Wild","Germany",10.5,51.5
"Unfaithful","Germany",10.5,51.5
"Unfaithful","France",2,46
"About a Boy","UK",-2.69531,54.75844
"About a Boy","France",2,46
"About a Boy","Germany",10.5,51.5
"Insomnia","Canada",-113.64258,60.10867
"The Sum of All Fears","Germany",10.5,51.5
"Bad Company","Czech Republic",15,49.75
"Scooby-Doo","Australia",135,-25
"The Bourne Identity","Germany",10.5,51.5
"The Bourne Identity","Czech Republic",15,49.75
"Reign of Fire","Ireland",-8,53
"The Crocodile Hunter: Collision Course","Australia",135,-25
"Eight Legged Freaks","Australia",135,-25
"K-19: The Widowmaker","UK",-2.69531,54.75844
"K-19: The Widowmaker","Germany",10.5,51.5
"K-19: The Widowmaker","Canada",-113.64258,60.10867
"My Big Fat Greek Wedding","Canada",-113.64258,60.10867
"Blue Crush","Germany",10.5,51.5
"The Adventures of Pluto Nash","Australia",135,-25
"Serving Sara","Germany",10.5,51.5
"Feardotcom","UK",-2.69531,54.75844
"Feardotcom","Germany",10.5,51.5
"Feardotcom","Luxembourg",6.16667,49.75
"Feardotcom","Canada",-113.64258,60.10867
"Possession","UK",-2.69531,54.75844
"The Four Feathers","UK",-2.69531,54.75844
"Ballistic: Ecks vs. Sever","Germany",10.5,51.5
"Trapped","Germany",10.5,51.5
"Red Dragon","Germany",10.5,51.5
"The Rules of Attraction","Germany",10.5,51.5
"The Transporter","France",2,46
"Welcome to Collinwood","Germany",10.5,51.5
"The Ring","Japan",139.75309,35.68536
"Abandon","Germany",10.5,51.5
"Abandon","Canada",-113.64258,60.10867
"Ghost Ship","Australia",135,-25
"The Truth About Charlie","Germany",10.5,51.5
"8 Mile","Germany",10.5,51.5
"Harry Potter and the Chamber of Secrets","UK",-2.69531,54.75844
"Harry Potter and the Chamber of Secrets","Germany",10.5,51.5
"Bowling for Columbine","Canada",-113.64258,60.10867
"Bowling for Columbine","Germany",10.5,51.5
"Half Past Dead","Germany",10.5,51.5
"Die Another Day","UK",-2.69531,54.75844
